Officer ID,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35
Abbey_Officer_44,07:00 | Merton 009B,,10:00 | Merton 012A,18:00 | Barking and Dagenham 015C,06:00 | Merton 006A,,,,,20:00 | Merton 012A,,15:00 | Barking and Dagenham 015D,17:00 | Merton 006A,20:00 | Merton 009B,20:00 | Merton 006B,,18:00 | Merton 009B,09:00 | Barking and Dagenham 016B,,,19:00 | Barking and Dagenham 015A,17:00 | Barking and Dagenham 016B,17:00 | Barking and Dagenham 016C,,17:00 | Merton 009A,,16:00 | Merton 006B,,14:00 | Merton 009A,,,16:00 | Barking and Dagenham 016B,,08:00 | Merton 009C,13:00 | Barking and Dagenham 015B
Abbey_Officer_45,,09:00 | Barking and Dagenham 016A,,11:00 | Barking and Dagenham 016C,,18:00 | Barking and Dagenham 015C,15:00 | Barking and Dagenham 015D,16:00 | Merton 006B,18:00 | Barking and Dagenham 016C,,18:00 | Merton 006A,,19:00 | Barking and Dagenham 016A,,,17:00 | Merton 006B,18:00 | Barking and Dagenham 016B,,19:00 | Merton 009A,13:00 | Merton 012A,,,,10:00 | Barking and Dagenham 016A,,17:00 | Barking and Dagenham 015D,16:00 | Barking and Dagenham 016B,19:00 | Merton 009B,20:00 | Barking and Dagenham 016A,,18:00 | Merton 006B,19:00 | Merton 012A,,19:00 | Barking and Dagenham 015C,
Abbey_Officer_46,20:00 | Merton 009A,11:00 | Barking and Dagenham 016B,,,,16:00 | Barking and Dagenham 016C,17:00 | Merton 009C,20:00 | Merton 006B,18:00 | Barking and Dagenham 015A,,20:00 | Barking and Dagenham 015B,,17:00 | Barking and Dagenham 016A,,18:00 | Barking and Dagenham 016C,10:00 | Merton 009B,19:00 | Merton 012A,19:00 | Merton 009A,,,,20:00 | Merton 009C,13:00 | Merton 012A,,,11:00 | Merton 006B,,16:00 | Barking and Dagenham 015C,,20:00 | Merton 009C,,06:00 | Merton 006A,,16:00 | Barking and Dagenham 015C,18:00 | Merton 009A
Abbey_Officer_47,,,06:00 | Merton 006B,19:00 | Barking and Dagenham 016C,,10:00 | Barking and Dagenham 016B,17:00 | Barking and Dagenham 015A,17:00 | Merton 009A,10:00 | Merton 006A,,,,14:00 | Merton 009C,10:00 | Barking and Dagenham 015D,20:00 | Merton 009C,,08:00 | Merton 009A,18:00 | Barking and Dagenham 016C,,,19:00 | Merton 006B,20:00 | Merton 006B,18:00 | Merton 012A,15:00 | Barking and Dagenham 016B,10:00 | Barking and Dagenham 015B,,,,,,18:00 | Merton 006A,16:00 | Barking and Dagenham 015C,17:00 | Barking and Dagenham 016A,11:00 | Merton 006B,
Abbey_Officer_48,18:00 | Merton 009C,07:00 | Merton 009A,,,08:00 | Barking and Dagenham 015D,,16:00 | Barking and Dagenham 016B,17:00 | Merton 009A,17:00 | Merton 012A,18:00 | Barking and Dagenham 015C,,,18:00 | Merton 009B,,19:00 | Merton 012A,,,13:00 | Merton 009B,19:00 | Merton 006B,,17:00 | Merton 006A,,17:00 | Barking and Dagenham 016B,,,20:00 | Merton 009C,16:00 | Barking and Dagenham 015C,11:00 | Barking and Dagenham 015B,,,19:00 | Merton 006A,13:00 | Merton 009C,,19:00 | Barking and Dagenham 015C,12:00 | Barking and Dagenham 015B
Abbey_Officer_49,20:00 | Barking and Dagenham 015D,18:00 | Barking and Dagenham 015C,17:00 | Merton 009A,,12:00 | Barking and Dagenham 015A,,,18:00 | Barking and Dagenham 015D,20:00 | Merton 009C,,14:00 | Merton 009A,,17:00 | Barking and Dagenham 015C,,,,17:00 | Barking and Dagenham 015A,16:00 | Merton 006B,13:00 | Barking and Dagenham 016C,,16:00 | Barking and Dagenham 015D,20:00 | Merton 006A,18:00 | Merton 012A,,,,13:00 | Barking and Dagenham 015B,09:00 | Merton 009A,16:00 | Merton 009C,,06:00 | Merton 006A,,07:00 | Barking and Dagenham 016C,18:00 | Barking and Dagenham 015D,
Abbey_Officer_50,,,19:00 | Barking and Dagenham 016A,18:00 | Barking and Dagenham 015D,09:00 | Barking and Dagenham 015A,,13:00 | Barking and Dagenham 015C,,18:00 | Barking and Dagenham 015C,,16:00 | Merton 009A,18:00 | Barking and Dagenham 016B,,17:00 | Barking and Dagenham 015B,08:00 | Barking and Dagenham 015A,06:00 | Merton 009A,12:00 | Barking and Dagenham 016C,18:00 | Barking and Dagenham 015D,,,,20:00 | Barking and Dagenham 016B,09:00 | Merton 006A,,17:00 | Merton 009C,,,14:00 | Merton 006B,18:00 | Merton 009C,11:00 | Barking and Dagenham 015C,,,,17:00 | Merton 009A,10:00 | Barking and Dagenham 016C
Abbey_Officer_51,,,,16:00 | Merton 006A,19:00 | Barking and Dagenham 016A,19:00 | Merton 009C,08:00 | Merton 006B,,,,16:00 | Barking and Dagenham 016B,18:00 | Barking and Dagenham 015A,18:00 | Barking and Dagenham 016A,17:00 | Merton 012A,,,10:00 | Merton 009C,15:00 | Barking and Dagenham 016B,14:00 | Merton 009B,09:00 | Merton 009A,,,18:00 | Merton 012A,18:00 | Barking and Dagenham 015C,,16:00 | Barking and Dagenham 015B,,18:00 | Merton 009C,,,,18:00 | Barking and Dagenham 015A,19:00 | Merton 009A,18:00 | Merton 006B,15:00 | Barking and Dagenham 016C
Abbey_Officer_52,18:00 | Merton 009C,20:00 | Barking and Dagenham 015D,,17:00 | Merton 006B,,19:00 | Merton 009B,,11:00 | Barking and Dagenham 015B,20:00 | Merton 012A,,,,17:00 | Barking and Dagenham 016B,14:00 | Merton 006B,,11:00 | Barking and Dagenham 015D,,17:00 | Barking and Dagenham 015C,,17:00 | Barking and Dagenham 016B,08:00 | Merton 009B,,,07:00 | Barking and Dagenham 015D,,13:00 | Barking and Dagenham 016A,15:00 | Merton 012A,16:00 | Barking and Dagenham 015B,,07:00 | Barking and Dagenham 015C,,11:00 | Merton 012A,10:00 | Merton 009A,10:00 | Merton 006B,
Abbey_Officer_53,08:00 | Merton 009B,18:00 | Merton 006A,19:00 | Merton 009C,,,19:00 | Barking and Dagenham 015C,,,17:00 | Barking and Dagenham 015B,,09:00 | Barking and Dagenham 016A,,14:00 | Barking and Dagenham 016C,11:00 | Barking and Dagenham 015D,,,,17:00 | Barking and Dagenham 016A,20:00 | Merton 006B,09:00 | Barking and Dagenham 015C,17:00 | Barking and Dagenham 015D,,,16:00 | Barking and Dagenham 015B,17:00 | Merton 009C,16:00 | Merton 012A,20:00 | Barking and Dagenham 015D,,,19:00 | Barking and Dagenham 015C,19:00 | Barking and Dagenham 015D,,10:00 | Barking and Dagenham 016A,18:00 | Barking and Dagenham 016C,
Abbey_Officer_54,,20:00 | Merton 012A,,19:00 | Barking and Dagenham 016B,19:00 | Barking and Dagenham 016C,,14:00 | Barking and Dagenham 015A,14:00 | Merton 006B,11:00 | Merton 009C,20:00 | Barking and Dagenham 015B,,,17:00 | Barking and Dagenham 015C,,12:00 | Merton 009B,11:00 | Barking and Dagenham 015C,13:00 | Barking and Dagenham 015B,,16:00 | Barking and Dagenham 015D,,,,07:00 | Barking and Dagenham 016B,,19:00 | Barking and Dagenham 015A,17:00 | Merton 012A,,08:00 | Merton 006A,06:00 | Merton 006B,,11:00 | Barking and Dagenham 015D,,,18:00 | Merton 009C,08:00 | Merton 009B
Abbey_Officer_55,19:00 | Merton 009A,13:00 | Barking and Dagenham 015A,,,20:00 | Barking and Dagenham 015B,08:00 | Barking and Dagenham 015D,,06:00 | Barking and Dagenham 016A,,07:00 | Barking and Dagenham 016B,,,16:00 | Merton 009A,19:00 | Merton 012A,,08:00 | Merton 009C,16:00 | Barking and Dagenham 015B,,,19:00 | Merton 006B,16:00 | Barking and Dagenham 016B,,17:00 | Merton 009B,,,18:00 | Barking and Dagenham 015A,19:00 | Barking and Dagenham 015B,09:00 | Barking and Dagenham 015D,,13:00 | Merton 009C,16:00 | Barking and Dagenham 015B,16:00 | Barking and Dagenham 015D,12:00 | Barking and Dagenham 015A,,
Abbey_Officer_56,,15:00 | Merton 006A,09:00 | Merton 012A,,19:00 | Barking and Dagenham 015C,,18:00 | Merton 009B,17:00 | Merton 009A,,,19:00 | Barking and Dagenham 015B,16:00 | Merton 009B,10:00 | Barking and Dagenham 016B,,,,09:00 | Merton 012A,08:00 | Merton 009A,,17:00 | Barking and Dagenham 016B,13:00 | Barking and Dagenham 015A,,20:00 | Merton 006A,,08:00 | Merton 009C,17:00 | Barking and Dagenham 015D,14:00 | Barking and Dagenham 016A,,,,17:00 | Barking and Dagenham 015A,,16:00 | Merton 006B,06:00 | Merton 012A,17:00 | Barking and Dagenham 015D
Abbey_Officer_57,16:00 | Barking and Dagenham 015C,16:00 | Merton 006A,16:00 | Merton 009C,,,16:00 | Merton 009A,,19:00 | Merton 009C,,16:00 | Merton 006B,11:00 | Barking and Dagenham 015B,,18:00 | Merton 009A,,18:00 | Merton 012A,,11:00 | Merton 006A,15:00 | Merton 009B,,,14:00 | Barking and Dagenham 015A,20:00 | Merton 006B,,18:00 | Barking and Dagenham 015B,07:00 | Merton 012A,,,17:00 | Barking and Dagenham 015D,,18:00 | Merton 009C,12:00 | Barking and Dagenham 015D,,08:00 | Barking and Dagenham 015C,09:00 | Merton 009B,
Abbey_Officer_58,19:00 | Merton 006A,,17:00 | Barking and Dagenham 016A,11:00 | Barking and Dagenham 016B,,20:00 | Barking and Dagenham 015A,,15:00 | Barking and Dagenham 016A,,19:00 | Merton 009C,08:00 | Merton 006A,18:00 | Barking and Dagenham 015C,,,16:00 | Merton 006A,16:00 | Merton 006B,17:00 | Barking and Dagenham 015B,,,,20:00 | Barking and Dagenham 016B,20:00 | Barking and Dagenham 015C,,18:00 | Barking and Dagenham 016A,,07:00 | Barking and Dagenham 015B,17:00 | Barking and Dagenham 015D,,,,,16:00 | Merton 009B,14:00 | Barking and Dagenham 016C,13:00 | Barking and Dagenham 016A,18:00 | Merton 006B
Abbey_Officer_59,,18:00 | Merton 006A,06:00 | Barking and Dagenham 016A,20:00 | Barking and Dagenham 015A,,,20:00 | Merton 012A,18:00 | Merton 006B,,16:00 | Merton 009A,,,14:00 | Barking and Dagenham 015C,17:00 | Barking and Dagenham 015D,,18:00 | Barking and Dagenham 015A,16:00 | Merton 006A,17:00 | Merton 009A,20:00 | Barking and Dagenham 015D,,,,16:00 | Merton 006B,,18:00 | Barking and Dagenham 015A,15:00 | Barking and Dagenham 015D,18:00 | Barking and Dagenham 016B,,14:00 | Barking and Dagenham 015B,08:00 | Barking and Dagenham 016A,17:00 | Merton 006A,,,18:00 | Barking and Dagenham 015A,
Abbey_Officer_60,20:00 | Barking and Dagenham 016A,,,,18:00 | Merton 012A,17:00 | Barking and Dagenham 015D,16:00 | Barking and Dagenham 015C,10:00 | Barking and Dagenham 016C,,,18:00 | Barking and Dagenham 015C,09:00 | Barking and Dagenham 016B,,17:00 | Merton 009A,16:00 | Barking and Dagenham 015B,,,13:00 | Barking and Dagenham 015C,20:00 | Barking and Dagenham 015A,,19:00 | Merton 006A,12:00 | Barking and Dagenham 016A,,07:00 | Barking and Dagenham 016C,08:00 | Barking and Dagenham 015B,,,17:00 | Barking and Dagenham 015C,,,16:00 | Barking and Dagenham 015A,,15:00 | Barking and Dagenham 015D,17:00 | Barking and Dagenham 016A,17:00 | Merton 012A
Abbey_Officer_61,18:00 | Barking and Dagenham 015C,17:00 | Barking and Dagenham 016B,16:00 | Merton 009B,18:00 | Merton 006B,,,,,19:00 | Barking and Dagenham 015D,,16:00 | Barking and Dagenham 016C,17:00 | Barking and Dagenham 016A,,17:00 | Merton 009B,06:00 | Barking and Dagenham 016A,,17:00 | Barking and Dagenham 015A,17:00 | Merton 009A,,18:00 | Barking and Dagenham 015D,,,15:00 | Merton 012A,,16:00 | Barking and Dagenham 016A,,16:00 | Merton 006B,18:00 | Merton 009B,20:00 | Merton 006B,,,16:00 | Barking and Dagenham 015D,10:00 | Barking and Dagenham 015A,06:00 | Merton 009C,
Abbey_Officer_62,,16:00 | Barking and Dagenham 016B,,,17:00 | Merton 006A,20:00 | Barking and Dagenham 016C,17:00 | Barking and Dagenham 015A,,18:00 | Merton 009C,15:00 | Barking and Dagenham 015C,,13:00 | Barking and Dagenham 015B,,16:00 | Barking and Dagenham 015A,18:00 | Merton 009B,17:00 | Barking and Dagenham 016B,,11:00 | Barking and Dagenham 015C,16:00 | Merton 006B,,,10:00 | Barking and Dagenham 016C,06:00 | Merton 012A,10:00 | Barking and Dagenham 015C,20:00 | Merton 006A,,,,18:00 | Barking and Dagenham 015D,,20:00 | Merton 006B,,17:00 | Barking and Dagenham 015C,,16:00 | Barking and Dagenham 015A
Abbey_Officer_63,17:00 | Barking and Dagenham 015B,,,19:00 | Barking and Dagenham 016A,20:00 | Merton 009C,,17:00 | Barking and Dagenham 016B,15:00 | Barking and Dagenham 015D,,,13:00 | Barking and Dagenham 015B,18:00 | Barking and Dagenham 015A,,18:00 | Merton 006B,,15:00 | Merton 009C,18:00 | Merton 006B,,17:00 | Barking and Dagenham 015A,,16:00 | Barking and Dagenham 015B,17:00 | Barking and Dagenham 016B,20:00 | Merton 009B,,,20:00 | Merton 006B,,18:00 | Merton 009A,,17:00 | Merton 009B,20:00 | Barking and Dagenham 015B,16:00 | Merton 009C,18:00 | Barking and Dagenham 016A,,
Abbey_Officer_64,08:00 | Merton 009A,,18:00 | Barking and Dagenham 016A,08:00 | Merton 006B,18:00 | Barking and Dagenham 015B,,,,20:00 | Merton 012A,,17:00 | Barking and Dagenham 016A,08:00 | Merton 009B,,14:00 | Barking and Dagenham 016B,18:00 | Barking and Dagenham 016B,06:00 | Barking and Dagenham 016A,16:00 | Merton 009B,19:00 | Barking and Dagenham 015D,,,,18:00 | Barking and Dagenham 016B,,19:00 | Merton 006A,19:00 | Merton 009C,,20:00 | Barking and Dagenham 015A,,,19:00 | Merton 009B,,11:00 | Barking and Dagenham 016B,18:00 | Barking and Dagenham 015D,,20:00 | Barking and Dagenham 015A
Abbey_Officer_65,,17:00 | Merton 009B,,07:00 | Barking and Dagenham 016B,,14:00 | Barking and Dagenham 015A,20:00 | Merton 006A,17:00 | Merton 006B,,14:00 | Barking and Dagenham 015B,17:00 | Barking and Dagenham 015D,,12:00 | Barking and Dagenham 016A,,06:00 | Barking and Dagenham 015A,,16:00 | Merton 012A,,18:00 | Barking and Dagenham 016C,,18:00 | Merton 009A,19:00 | Merton 009A,06:00 | Merton 006A,17:00 | Barking and Dagenham 015D,,13:00 | Barking and Dagenham 015C,,,17:00 | Barking and Dagenham 015C,,,,20:00 | Merton 009C,16:00 | Barking and Dagenham 015D,14:00 | Merton 006B
Abbey_Officer_66,,,20:00 | Merton 012A,11:00 | Barking and Dagenham 016C,,12:00 | Barking and Dagenham 015B,06:00 | Barking and Dagenham 016B,,,08:00 | Merton 009A,,19:00 | Barking and Dagenham 016C,20:00 | Barking and Dagenham 015B,18:00 | Barking and Dagenham 015D,13:00 | Barking and Dagenham 015B,,17:00 | Barking and Dagenham 015D,,17:00 | Merton 009B,13:00 | Barking and Dagenham 016A,,12:00 | Merton 009B,18:00 | Barking and Dagenham 016C,,18:00 | Merton 006A,18:00 | Merton 012A,,,,17:00 | Barking and Dagenham 015C,,17:00 | Merton 012A,19:00 | Barking and Dagenham 016B,,10:00 | Merton 009C
Abbey_Officer_67,,,08:00 | Merton 009A,19:00 | Barking and Dagenham 016C,17:00 | Barking and Dagenham 015C,,08:00 | Barking and Dagenham 015D,09:00 | Barking and Dagenham 016B,11:00 | Barking and Dagenham 016C,,,17:00 | Merton 012A,,15:00 | Merton 006A,19:00 | Merton 009B,13:00 | Merton 009C,14:00 | Merton 006A,,,,08:00 | Barking and Dagenham 015A,,,18:00 | Barking and Dagenham 015A,16:00 | Barking and Dagenham 015D,,19:00 | Barking and Dagenham 015C,17:00 | Merton 006B,19:00 | Merton 012A,,,19:00 | Barking and Dagenham 015B,08:00 | Merton 009A,19:00 | Merton 009B,
Abbey_Officer_68,11:00 | Merton 012A,09:00 | Merton 006B,,17:00 | Barking and Dagenham 016A,18:00 | Barking and Dagenham 015B,,,,09:00 | Barking and Dagenham 015A,20:00 | Barking and Dagenham 016C,19:00 | Merton 009B,20:00 | Merton 006A,,,17:00 | Merton 009B,18:00 | Barking and Dagenham 015B,,19:00 | Merton 012A,,20:00 | Barking and Dagenham 016B,,06:00 | Barking and Dagenham 016A,11:00 | Barking and Dagenham 015D,,,19:00 | Barking and Dagenham 015B,17:00 | Merton 012A,,,,20:00 | Merton 009C,16:00 | Barking and Dagenham 016C,,20:00 | Merton 006B,07:00 | Barking and Dagenham 015A
Abbey_Officer_69,,,,16:00 | Merton 009C,18:00 | Barking and Dagenham 016C,17:00 | Barking and Dagenham 016A,06:00 | Merton 009A,,19:00 | Barking and Dagenham 015D,19:00 | Barking and Dagenham 016B,15:00 | Barking and Dagenham 015C,,,08:00 | Merton 009A,18:00 | Barking and Dagenham 015B,18:00 | Barking and Dagenham 015A,,19:00 | Merton 009C,,20:00 | Barking and Dagenham 015C,,,17:00 | Barking and Dagenham 015A,10:00 | Barking and Dagenham 015B,,20:00 | Barking and Dagenham 016A,19:00 | Merton 006B,,14:00 | Barking and Dagenham 016A,13:00 | Merton 009C,,,12:00 | Barking and Dagenham 015B,16:00 | Merton 009B,
Abbey_Officer_70,,19:00 | Barking and Dagenham 015D,,10:00 | Merton 012A,,11:00 | Barking and Dagenham 015B,18:00 | Merton 009B,,,,07:00 | Merton 009B,17:00 | Merton 006B,16:00 | Barking and Dagenham 016C,17:00 | Barking and Dagenham 015C,20:00 | Merton 012A,,,18:00 | Merton 006B,19:00 | Barking and Dagenham 015A,17:00 | Barking and Dagenham 016C,,11:00 | Merton 012A,11:00 | Barking and Dagenham 016B,,16:00 | Merton 009A,,,20:00 | Merton 006A,07:00 | Merton 009C,,17:00 | Barking and Dagenham 016A,20:00 | Merton 006A,,12:00 | Barking and Dagenham 016B,
Abbey_Officer_71,18:00 | Barking and Dagenham 016A,20:00 | Barking and Dagenham 015D,19:00 | Barking and Dagenham 016C,,,,13:00 | Merton 006B,08:00 | Barking and Dagenham 016C,,17:00 | Barking and Dagenham 016A,,,20:00 | Barking and Dagenham 015C,20:00 | Barking and Dagenham 016B,,,06:00 | Barking and Dagenham 016C,,20:00 | Barking and Dagenham 015D,20:00 | Barking and Dagenham 015A,17:00 | Merton 006B,,09:00 | Merton 009A,,19:00 | Barking and Dagenham 015A,14:00 | Barking and Dagenham 015B,,20:00 | Barking and Dagenham 016B,12:00 | Merton 009A,14:00 | Barking and Dagenham 016A,,19:00 | Merton 006A,,15:00 | Merton 009C,
Abbey_Officer_72,11:00 | Merton 009C,,,06:00 | Merton 009B,,20:00 | Barking and Dagenham 016B,06:00 | Barking and Dagenham 015B,16:00 | Barking and Dagenham 016C,09:00 | Merton 009B,,,,09:00 | Merton 006A,18:00 | Barking and Dagenham 015D,11:00 | Merton 012A,,,13:00 | Merton 009C,13:00 | Merton 009A,,17:00 | Barking and Dagenham 015C,20:00 | Merton 009A,06:00 | Merton 009C,20:00 | Barking and Dagenham 015D,,12:00 | Barking and Dagenham 015A,,,,18:00 | Merton 006B,,10:00 | Merton 009A,14:00 | Barking and Dagenham 015C,19:00 | Barking and Dagenham 016B,
